simulation 1, result: 2
simulation 2, result: 5
simulation 3, result: 7
simulation 4, result: 8
simulation 5, result: 8
simulation 6, result: 8
simulation 7, result: 8
simulation 8, result: 8
simulation 9, result: 7
simulation 10, result: 8
simulation 11, result: 8
simulation 12, result: 8
simulation 13, result: 8
simulation 14, result: 8
simulation 15, result: 8
simulation 16, result: 8
simulation 17, result: 8
simulation 18, result: 8
simulation 19, result: 7
simulation 20, result: 8
simulation 21, result: 8
simulation 22, result: 8
simulation 23, result: 8
simulation 24, result: 8
simulation 25, result: 8
simulation 26, result: 8
simulation 27, result: 8
simulation 28, result: 8
simulation 29, result: 8
simulation 30, result: 8
simulation 31, result: 8
simulation 32, result: 8
simulation 33, result: 7
simulation 34, result: 8
simulation 35, result: 8
simulation 36, result: 8
simulation 37, result: 8
simulation 38, result: 8
simulation 39, result: 8
simulation 40, result: 8
simulation 41, result: 8
simulation 42, result: 8
simulation 43, result: 8
simulation 44, result: 8
simulation 45, result: 8
simulation 46, result: 8
simulation 47, result: 8
simulation 48, result: 8
simulation 49, result: 8
simulation 50, result: 8
simulation 51, result: 8
simulation 52, result: 8
simulation 53, result: 8
simulation 54, result: 8
simulation 55, result: 8
simulation 56, result: 7
simulation 57, result: 8
simulation 58, result: 8
simulation 59, result: 8
simulation 60, result: 8
simulation 61, result: 8
simulation 62, result: 8
simulation 63, result: 8
simulation 64, result: 8
simulation 65, result: 8
simulation 66, result: 8
simulation 67, result: 8
simulation 68, result: 8
simulation 69, result: 8
simulation 70, result: 8
simulation 71, result: 8
simulation 72, result: 8
simulation 73, result: 8
simulation 74, result: 8
simulation 75, result: 8
simulation 76, result: 8
simulation 77, result: 8
simulation 78, result: 8
simulation 79, result: 8
simulation 80, result: 8
simulation 81, result: 8
simulation 82, result: 8
simulation 83, result: 8
simulation 84, result: 8
simulation 85, result: 8
simulation 86, result: 8
simulation 87, result: 8
simulation 88, result: 8
simulation 89, result: 7
simulation 90, result: 8
simulation 91, result: 8
simulation 92, result: 8
simulation 93, result: 8
simulation 94, result: 8
simulation 95, result: 8
simulation 96, result: 8
simulation 97, result: 8
simulation 98, result: 8
simulation 99, result: 8
simulation 100, result: 8
The Optimal value:  7.909090909090909
